activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,32722,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,C/C(=N\N=C(\N)S)c1ccc(Cl)c(Cl)c1,,,CHEMBL1135476,J. Med. Chem.,2002,"{'bei': '27.85', 'le': '0.66', 'lle': '4.34', 'sei': '14.39'}",CHEMBL90512,,CHEMBL90512,7.30,1,http://www.openphacts.org/units/Nanomolar,167029,=,1,1,=,,IC50,nM,,50.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,nM,UO_0000065,,50.0
,32724,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,C/C(=N\NC(N)=O)c1cccc(Cl)c1,,,CHEMBL1135476,J. Med. Chem.,2002,,CHEMBL327902,,CHEMBL327902,,0,http://www.openphacts.org/units/Nanomolar,167003,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,uM,UO_0000065,,10.0
,33952,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,CC/C(=N\N=C(/S)NC)c1cccc(Br)c1,,,CHEMBL1135476,J. Med. Chem.,2002,,CHEMBL88307,,CHEMBL88307,,0,http://www.openphacts.org/units/Nanomolar,166990,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,uM,UO_0000065,,10.0
,33953,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,S=C(Nc1cccc(Cl)c1)N1CCC(c2cccc(Br)c2)=N1,,,CHEMBL1135476,J. Med. Chem.,2002,"{'bei': '15.20', 'le': '0.37', 'lle': '1.09', 'sei': '21.72'}",CHEMBL90475,,CHEMBL90475,6.00,0,http://www.openphacts.org/units/Nanomolar,167012,=,1,1,=,,IC50,nM,,1000.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,nM,UO_0000065,,1000.0
,33955,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,CCC(N/N=C(/N)S)c1cccc(Br)c1,,,CHEMBL1135476,J. Med. Chem.,2002,,CHEMBL90371,,CHEMBL90371,,0,http://www.openphacts.org/units/Nanomolar,166997,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,uM,UO_0000065,,10.0
,35229,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,CC/C(=N\NC(N)=O)c1cccc(C(F)(F)F)c1,,,CHEMBL1135476,J. Med. Chem.,2002,,CHEMBL88354,,CHEMBL88354,,0,http://www.openphacts.org/units/Nanomolar,167008,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,uM,UO_0000065,,10.0
,36415,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,CC/C(=N\N=C(\N)S)c1ccccc1,,,CHEMBL1135476,J. Med. Chem.,2002,,CHEMBL440504,,CHEMBL440504,,0,http://www.openphacts.org/units/Nanomolar,167049,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,uM,UO_0000065,,10.0
,36416,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,CC/C(=N\N=C(/S)NCCN1CCNCC1)c1cccc(Br)c1,,,CHEMBL1135476,J. Med. Chem.,2002,,CHEMBL91644,,CHEMBL91644,,0,http://www.openphacts.org/units/Nanomolar,167022,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,uM,UO_0000065,,10.0
,36417,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,FC(F)(F)c1ccc(NC(=S)N2CCC(c3cccc(Br)c3)=N2)cc1,,,CHEMBL1135476,J. Med. Chem.,2002,,CHEMBL315862,,CHEMBL315862,,0,http://www.openphacts.org/units/Nanomolar,167016,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,uM,UO_0000065,,10.0
,37551,[],CHEMBL660279,Inhibitory activity against Trypanosoma cruzi cathepsin L-like protease (cruzain) was determined using purified recombinant protein,B,,,BAO_0000190,BAO_0000357,single protein format,CC/C(=N\N=C(/S)Nc1ccccc1)c1cccc(Br)c1,,,CHEMBL1135476,J. Med. Chem.,2002,,CHEMBL328234,,CHEMBL328234,,0,http://www.openphacts.org/units/Nanomolar,167024,>,1,1,>,,IC50,nM,,10000.0,CHEMBL3563,Trypanosoma cruzi,Cruzipain,5693,,,IC50,uM,UO_0000065,,10.0
