molecule_chembl_id,canonical_smiles,standard_value
CHEMBL90512,C/C(=N\N=C(\N)S)c1ccc(Cl)c(Cl)c1,50.0
CHEMBL327902,C/C(=N\NC(N)=O)c1cccc(Cl)c1,10000.0
CHEMBL88307,CC/C(=N\N=C(/S)NC)c1cccc(Br)c1,10000.0
CHEMBL90475,S=C(Nc1cccc(Cl)c1)N1CCC(c2cccc(Br)c2)=N1,1000.0
CHEMBL90371,CCC(N/N=C(/N)S)c1cccc(Br)c1,10000.0
CHEMBL88354,CC/C(=N\NC(N)=O)c1cccc(C(F)(F)F)c1,10000.0
CHEMBL440504,CC/C(=N\N=C(\N)S)c1ccccc1,10000.0
CHEMBL91644,CC/C(=N\N=C(/S)NCCN1CCNCC1)c1cccc(Br)c1,10000.0
CHEMBL315862,FC(F)(F)c1ccc(NC(=S)N2CCC(c3cccc(Br)c3)=N2)cc1,10000.0
CHEMBL328234,CC/C(=N\N=C(/S)Nc1ccccc1)c1cccc(Br)c1,10000.0
CHEMBL91643,CC/C(=N\NC(N)=O)c1cccc(Br)c1,10000.0
CHEMBL94235,N/C(S)=N/N=C/c1cccn1S(=O)(=O)c1ccccc1,2800.0
CHEMBL92099,CC/C(=N\N=C(\N)S)c1ccc(Cl)c(Cl)c1,20.0
CHEMBL90428,CC1CN(C(=N)S)N=C1c1cccc(Cl)c1,230.0
CHEMBL89915,CC/C(=N\N=C(\N)S)c1ccc2cc(OC)ccc2c1,10000.0
CHEMBL91640,N=C(S)N1CCC(c2cccc(C(F)(F)F)c2)=N1,80.0
CHEMBL91887,S=C(NCCN1CCOCC1)N1CCC(c2cccc(Br)c2)=N1,10000.0
CHEMBL328370,S=C(NCc1ccco1)N1CCC(c2cccc(Br)c2)=N1,10000.0
CHEMBL90339,C/C(=N\NC(N)=O)c1cccc(Br)c1,10000.0
CHEMBL90772,N=C(S)N/N=C/c1cc(C(F)(F)F)cc(C(F)(F)F)c1,320.0
CHEMBL89973,C/C(=N\N=C(\N)S)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,60.0
CHEMBL88586,CC/C(=N\NC(N)=O)c1cccc(Cl)c1,10000.0
CHEMBL88782,NC(=O)N/N=C/c1ccc(-c2cccc(Cl)c2)o1,10000.0
CHEMBL93774,COc1ccccc1-c1ccc(/C=N/N=C(/N)S)o1,280.0
CHEMBL91844,N/C(S)=N/N=C/c1cccc(Br)c1,1300.0
CHEMBL90311,N=C(S)N/N=C/c1ccccc1C(F)(F)F,10000.0
CHEMBL90354,FC(F)(F)c1cccc(NC(=S)N2CCC(c3cccc(Cl)c3)=N2)c1,1700.0
CHEMBL313316,NC(=O)N/N=C/c1ccc(-c2ccc(Cl)cc2)o1,10000.0
CHEMBL92579,COc1cccc(/C(C)=N/N=C(/N)S)c1,10000.0
CHEMBL90819,C/C(=N\N=C(\N)S)c1ccccc1Br,3900.0
CHEMBL91344,CC/C(=N\N=C(\N)S)c1ccc(OC)cc1,10000.0
CHEMBL327582,CC/N=C(\S)N1CCC(c2cccc(Br)c2)=N1,10000.0
CHEMBL421737,C/C(=N\NC(N)=O)c1ccc(Cl)c(Cl)c1,10000.0
CHEMBL329128,N/C(S)=N/N=C/c1ccc(-c2cccc(Cl)c2)o1,140.0
CHEMBL89990,C/C(=N\N=C(\N)S)c1ccc(Br)s1,3800.0
CHEMBL90060,N/C(S)=N/N=C/c1ccc(-c2ccc(Br)cc2)o1,280.0
CHEMBL88734,C/C(=N\N=C(\N)S)c1cccc(Br)c1,200.0
CHEMBL330050,C/C(=N\N=C(\N)S)c1cccc(C(F)(F)F)c1,170.0
CHEMBL314026,NC(=S)N1CCC(c2cccc(Br)c2)=N1,200.0
CHEMBL91544,CC1CN(C(=N)S)N=C1c1ccc(Cl)c(Cl)c1,70.0
CHEMBL327577,N/C(S)=N/N=C/c1ccc(-c2ccc(Cl)cc2)o1,300.0
CHEMBL90808,Cn1c(/C=N/N=C(/N)S)cc2ccccc21,2800.0
CHEMBL92376,CC/C(=N\N=C(\N)S)c1cccc(C(F)(F)F)c1,50.0
CHEMBL406038,CC1CN(C(=N)S)N=C1c1cccc(Br)c1,80.0
CHEMBL90948,S=C(Nc1ccccc1)N1CCC(c2cccc(Br)c2)=N1,10000.0
CHEMBL91347,CCCCCC/N=C(\S)N1CCC(c2cccc(Br)c2)=N1,1400.0
CHEMBL90867,COc1ccc2ccccc2c1/C=N/N=C(/N)S,560.0
CHEMBL90235,C/C(=N\N=C(\N)S)c1ccccc1Cl,10000.0
CHEMBL91322,CC/C(=N\N=C(/S)NC(C)C)c1cccc(Br)c1,10000.0
CHEMBL329346,NC(=S)N1CCC(c2ccc(Cl)c(Cl)c2)=N1,60.0
CHEMBL92903,CC(C)/N=C(\S)N1CCC(c2cccc(Br)c2)=N1,10000.0
CHEMBL91893,NC(=O)N/N=C/c1ccc(-c2ccc(Br)cc2)o1,10000.0
CHEMBL91195,CC/N=C(\S)N/N=C(\CC)c1cccc(Br)c1,10000.0
CHEMBL91439,CC/C(=N\NC(N)=O)c1ccc(Cl)c(Cl)c1,10000.0
CHEMBL242103,COc1ccc(/C=N/NC(N)=S)cc1O,10000.0
CHEMBL330503,C/C(=N\NC(N)=O)c1cccc(C(F)(F)F)c1,10000.0
CHEMBL90859,CC/C(=N\N=C(/S)NCc1ccco1)c1cccc(Br)c1,10000.0
CHEMBL91266,N/C(S)=N/N=C/c1cc(C#Cc2ccccc2)cs1,10000.0
CHEMBL90023,CC/C(=N\N=C(\N)S)c1ccc(Br)cc1,10000.0
CHEMBL90181,C/C(=N\N=C(\N)S)c1ccc(Cl)s1,1900.0
CHEMBL93125,CC/C(=N\N=C(\N)S)c1ccc(Cl)cc1,10000.0
CHEMBL90688,N=C(S)N/N=C/c1cccc(C(F)(F)F)c1,480.0
CHEMBL420616,CC/C(=N\N=C(/S)Nc1ccc(C(F)(F)F)cc1)c1cccc(Br)c1,1600.0
CHEMBL421363,N/C(S)=N/N=C/c1cc(Cl)cc(Cl)c1,560.0
CHEMBL91003,CC1CN(C(=N)S)N=C1c1cccc(C(F)(F)F)c1,40.0
CHEMBL415311,N/C(S)=N/N=C/c1ccc(Cl)c(Cl)c1,460.0
CHEMBL90250,CC/C(=N\N=C(\N)S)c1ccc(Cl)cc1Cl,10000.0
CHEMBL91830,Cn1nc(-c2ccc(/C=N/N=C(/N)S)s2)cc1C(F)(F)F,7000.0
CHEMBL91267,C/C(=N\N=C(\N)S)c1ccc(N2CCOCC2)cc1,10000.0
CHEMBL313679,CC/C(=N\N=C(\N)S)c1cccc(Br)c1,100.0
CHEMBL330453,CN(C)c1ccc(/C=N/N=C(/N)S)c2ccccc12,10000.0
CHEMBL93166,CC/C(=N\N=C(\N)S)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,20.0
CHEMBL90197,NC(=S)N1CCC(c2cccc(Cl)c2)=N1,270.0
CHEMBL90866,CC/C(=N\N=C(\N)S)c1cccc(Cl)c1,220.0
CHEMBL89974,CC/C(=N\NC(N)=O)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,10000.0
CHEMBL92375,CC/C(=N\N=C(\N)S)c1cccc(F)c1,10000.0
CHEMBL93490,N/C(S)=N/N=C/c1cccc(Cl)c1Cl,10000.0
CHEMBL91201,C/N=C(\S)N1CCC(c2cccc(Br)c2)=N1,10000.0
CHEMBL119515,O=C1C(=O)N(C(=O)OCc2ccccc2)c2ccccc21,10000.0
CHEMBL326294,O=C1Nc2ccccc2C1=O,10000.0
CHEMBL118883,Cc1ccc2c(c1)C(=O)C(=O)N2,10000.0
